TransactionID,Date,Product_Name,Category,Supplier,Units_Ordered,Units_Received,Units_Sold,Stock_On_Hand,Lead_Time_Days,Stockout_Flag,Region
SCL00029,25/12/2023,Colgate 100g,Personal Care,Pembe Flour,263,260,52,307,11,No,Eastleigh
SCL00030,13/03/2024,Omo 1kg,Detergent,Bidco Africa,301,267,124,154,10,No,Mombasa Road
SCL00031,11/01/2024,Omo 1kg,Detergent,Chandaria Industries,438,435,96,408,16,No,Ngong Road
SCL00032,19/12/2023,Pampers Size 4,Baby,KWAL,181,173,61,198,17,No,Westlands
SCL00033,21/11/2023,Unga Jogoo 2kg,Flour,KFC Supply,202,182,95,92,2,No,Kiambu
SCL00034,08/11/2023,Tomatoes 1kg,Produce,Unga Group,205,184,141,47,7,No,Ngong Road
SCL00035,05/12/2023,Colgate 100g,Personal Care,Chandaria Industries,357,335,98,254,6,No,Mombasa Road
SCL00036,29/01/2023,Chicken 1kg,Meat,Twiga Foods,387,356,273,143,7,No,Karen
SCL00037,22/04/2023,Indomie Noodles,Noodles,Twiga Foods,262,245,67,193,10,No,Mombasa Road
SCL00038,28/02/2023,Colgate 100g,Personal Care,KWAL,264,231,171,77,14,No,Thika Road
SCL00039,16/02/2023,Tomatoes 1kg,Produce,Twiga Foods,313,306,194,174,11,No,Thika Road
SCL00040,03/11/2023,Sugar 2kg,Grocery,Unga Group,119,119,56,108,6,No,Westlands
SCL00041,08/10/2024,Ketepa Tea 100bags,Tea,KWAL,57,55,32,40,2,No,Kiambu
SCL00042,11/05/2024,Brookside Milk 500ml,Dairy,Twiga Foods,439,420,79,411,3,No,Thika Road
SCL00043,20/11/2024,Indomie Noodles,Noodles,Bakeries Ltd,107,105,71,60,13,No,Thika Road
SCL00044,29/02/2024,Brookside Milk 500ml,Dairy,Chandaria Industries,304,289,115,215,19,No,Mombasa Road
SCL00045,08/11/2023,Indomie Noodles,Noodles,KFC Supply,325,312,186,166,7,No,Thika Road
SCL00046,21/03/2024,Chicken 1kg,Meat,Export Trading Group,67,57,35,107,6,No,Karen
SCL00047,16/07/2023,Pampers Size 4,Baby,Bidco Africa,434,428,202,264,6,No,Ngong Road
SCL00048,02/05/2024,Chicken 1kg,Meat,Bakeries Ltd,309,283,149,212,5,No,Thika Road
SCL00049,12/05/2023,Sugar 2kg,Grocery,Chandaria Industries,469,454,209,267,5,No,Eastleigh
SCL00050,17/04/2023,Tomatoes 1kg,Produce,KFC Supply,352,351,34,350,4,No,Karen
SCL00051,10/11/2024,Colgate 100g,Personal Care,KWAL,470,433,192,258,2,No,Ngong Road
SCL00052,31/07/2024,Rice 2kg,Grain,Bakeries Ltd,158,139,35,147,6,No,Westlands
SCL00053,07/11/2024,Bread 400g,Bakery,Bakeries Ltd,372,331,200,201,10,No,Karen
SCL00054,03/05/2023,Indomie Noodles,Noodles,KFC Supply,112,98,53,120,3,No,Ngong Road
SCL00055,19/10/2024,Potatoes 2kg,Produce,Bakeries Ltd,465,453,103,439,8,No,Karen
SCL00056,09/06/2024,Cooking Oil 2L,Oil,Brookside Dairy,271,260,131,191,5,No,Ngong Road
SCL00057,16/07/2023,Ketepa Tea 100bags,Tea,Twiga Foods,350,310,60,305,3,No,Thika Road
SCL00058,16/11/2023,Pampers Size 4,Baby,Brookside Dairy,123,120,42,131,17,No,Ngong Road
SCL00059,28/05/2024,Chicken 1kg,Meat,Pembe Flour,114,105,67,58,13,No,Eastleigh
SCL00060,03/09/2024,Ketepa Tea 100bags,Tea,Unga Group,320,284,53,276,11,No,Ngong Road
SCL00061,21/10/2023,Indomie Noodles,Noodles,Export Trading Group,337,294,148,166,16,No,Eastleigh
SCL00062,24/07/2023,Eggs Tray 30,Eggs,Twiga Foods,397,387,173,219,10,No,Ngong Road
SCL00063,19/10/2024,Pampers Size 4,Baby,KWAL,158,149,83,83,3,No,Westlands
SCL00064,06/11/2023,Ketepa Tea 100bags,Tea,Bidco Africa,488,447,211,293,5,No,Karen
SCL00065,27/06/2024,Eggs Tray 30,Eggs,Export Trading Group,130,115,76,93,4,No,Mombasa Road
SCL00066,08/12/2023,Brookside Milk 500ml,Dairy,Pembe Flour,315,278,175,117,11,No,Ngong Road
SCL00067,04/01/2024,Sugar 2kg,Grocery,Bakeries Ltd,144,133,88,73,13,No,Mombasa Road
SCL00068,09/02/2024,Tomatoes 1kg,Produce,Unga Group,99,85,56,103,6,No,Mombasa Road
SCL00069,22/12/2024,Tomatoes 1kg,Produce,Unga Group,216,192,141,128,16,No,Eastleigh
SCL00070,14/02/2023,Rice 2kg,Grain,Bakeries Ltd,330,314,151,229,2,No,Thika Road
SCL00071,03/11/2024,Unga Jogoo 2kg,Flour,Export Trading Group,344,342,86,285,4,No,Kiambu
SCL00072,25/04/2024,Bread 400g,Bakery,KWAL,292,290,209,140,6,No,Karen
SCL00073,17/02/2024,Sugar 2kg,Grocery,Twiga Foods,182,176,135,110,16,No,Thika Road
SCL00074,29/06/2024,Omo 1kg,Detergent,Pembe Flour,148,137,104,96,15,No,Ngong Road
SCL00075,31/08/2023,Ketepa Tea 100bags,Tea,KFC Supply,438,374,153,269,10,No,Mombasa Road
SCL00076,28/04/2024,Sugar 2kg,Grocery,Twiga Foods,398,339,304,119,3,No,Eastleigh
SCL00077,17/12/2024,Sugar 2kg,Grocery,Brookside Dairy,434,377,114,342,14,No,Westlands
SCL00078,05/02/2023,Sugar 2kg,Grocery,Unga Group,328,294,89,212,12,No,Thika Road
SCL00079,22/08/2024,Cooking Oil 2L,Oil,Unga Group,206,184,160,49,19,No,Thika Road
SCL00080,20/10/2023,Ketepa Tea 100bags,Tea,Chandaria Industries,357,340,298,55,19,No,Eastleigh
SCL00081,22/11/2024,Ketepa Tea 100bags,Tea,Pembe Flour,372,351,333,56,6,No,Mombasa Road
SCL00082,21/03/2024,Pampers Size 4,Baby,Pembe Flour,207,192,157,122,12,No,Thika Road
SCL00083,30/12/2023,Rice 2kg,Grain,KFC Supply,86,79,52,48,6,No,Westlands
SCL00084,24/08/2023,Cooking Oil 2L,Oil,KFC Supply,381,355,340,41,19,No,Westlands
SCL00085,21/12/2024,Colgate 100g,Personal Care,Bidco Africa,122,106,45,67,5,No,Kiambu
SCL00086,04/05/2023,Chicken 1kg,Meat,Chandaria Industries,51,49,33,90,8,No,Westlands
SCL00087,17/03/2024,Sugar 2kg,Grocery,Export Trading Group,159,158,153,36,18,No,Thika Road
SCL00088,25/01/2023,Rice 2kg,Grain,Chandaria Industries,158,147,77,70,8,No,Karen
SCL00089,17/04/2023,Unga Jogoo 2kg,Flour,Pembe Flour,468,425,96,406,12,No,Ngong Road
SCL00090,04/09/2024,Cooking Oil 2L,Oil,Bakeries Ltd,191,180,61,151,6,No,Eastleigh
SCL00091,07/03/2024,Chicken 1kg,Meat,Pembe Flour,164,148,37,123,7,No,Karen
SCL00092,10/11/2024,Bread 400g,Bakery,Export Trading Group,403,354,204,166,21,No,Eastleigh
SCL00093,06/07/2024,Chicken 1kg,Meat,Pembe Flour,426,375,38,431,17,No,Thika Road
SCL00094,19/07/2024,Chicken 1kg,Meat,Unga Group,327,288,62,244,5,No,Eastleigh
SCL00095,20/11/2024,Ketepa Tea 100bags,Tea,Brookside Dairy,182,170,109,70,6,No,Karen
SCL00096,25/12/2023,Bread 400g,Bakery,Twiga Foods,295,290,278,108,15,No,Thika Road
SCL00097,28/08/2023,Rice 2kg,Grain,Bidco Africa,94,87,67,108,5,No,Westlands
SCL00098,06/02/2023,Eggs Tray 30,Eggs,Twiga Foods,236,210,106,189,2,No,Kiambu
SCL00099,01/07/2024,Eggs Tray 30,Eggs,Unga Group,52,45,31,72,4,No,Eastleigh
SCL00100,22/07/2023,Chicken 1kg,Meat,Brookside Dairy,479,417,408,60,17,No,Westlands
SCL00101,04/05/2024,Bread 400g,Bakery,KFC Supply,108,106,61,141,3,No,Thika Road
SCL00102,21/06/2023,Ketepa Tea 100bags,Tea,Twiga Foods,263,263,129,142,14,No,Eastleigh
SCL00103,27/07/2024,Unga Jogoo 2kg,Flour,KWAL,309,270,77,215,4,No,Mombasa Road
SCL00104,23/06/2024,Sugar 2kg,Grocery,Bidco Africa,367,361,140,250,21,No,Karen
SCL00105,09/09/2024,Sugar 2kg,Grocery,Twiga Foods,240,230,199,102,11,No,Eastleigh
SCL00106,12/01/2023,Chicken 1kg,Meat,KFC Supply,409,407,149,290,6,No,Karen
SCL00107,29/03/2024,Brookside Milk 500ml,Dairy,Export Trading Group,215,206,94,134,17,No,Eastleigh
SCL00108,07/05/2023,Potatoes 2kg,Produce,KWAL,448,411,71,376,5,No,Eastleigh
SCL00109,01/04/2023,Brookside Milk 500ml,Dairy,Bakeries Ltd,165,141,101,130,12,No,Thika Road
SCL00110,04/10/2024,Unga Jogoo 2kg,Flour,KFC Supply,323,297,232,83,17,No,Thika Road
SCL00111,30/07/2023,Cooking Oil 2L,Oil,Brookside Dairy,404,373,176,228,4,No,Mombasa Road
SCL00112,01/01/2023,Colgate 100g,Personal Care,Brookside Dairy,158,135,107,69,7,No,Westlands
SCL00113,10/01/2023,Sugar 2kg,Grocery,Brookside Dairy,370,364,320,103,3,No,Westlands
SCL00114,05/05/2023,Indomie Noodles,Noodles,KWAL,146,146,107,63,7,No,Mombasa Road
SCL00115,10/06/2024,Rice 2kg,Grain,Export Trading Group,114,98,56,96,7,No,Thika Road
SCL00116,16/06/2023,Indomie Noodles,Noodles,Export Trading Group,149,146,133,46,17,No,Karen
SCL00117,28/01/2023,Potatoes 2kg,Produce,Twiga Foods,207,190,46,186,19,No,Ngong Road
SCL00118,12/09/2024,Sugar 2kg,Grocery,Unga Group,398,377,75,327,14,No,Karen
SCL00119,13/05/2023,Bread 400g,Bakery,Bakeries Ltd,128,114,41,119,7,No,Karen
SCL00120,06/12/2023,Rice 2kg,Grain,Brookside Dairy,202,178,31,178,10,No,Karen
SCL00121,06/08/2023,Brookside Milk 500ml,Dairy,Brookside Dairy,250,214,94,134,13,No,Westlands
SCL00122,11/07/2023,Tomatoes 1kg,Produce,Unga Group,369,317,152,228,20,No,Eastleigh
SCL00123,22/05/2023,Ketepa Tea 100bags,Tea,Brookside Dairy,56,51,33,102,4,No,Karen
SCL00124,20/07/2023,Potatoes 2kg,Produce,Unga Group,155,147,43,152,21,No,Kiambu
SCL00125,17/05/2024,Pampers Size 4,Baby,Brookside Dairy,65,63,43,61,21,No,Westlands
SCL00126,13/10/2024,Eggs Tray 30,Eggs,Unga Group,351,300,180,203,3,No,Kiambu
SCL00127,28/05/2024,Eggs Tray 30,Eggs,Unga Group,474,424,263,253,12,No,Karen
SCL00128,05/08/2024,Indomie Noodles,Noodles,KFC Supply,476,441,244,279,20,No,Westlands
SCL00129,13/01/2023,Colgate 100g,Personal Care,KFC Supply,74,63,32,78,18,No,Thika Road
SCL00130,18/07/2023,Eggs Tray 30,Eggs,Brookside Dairy,52,45,38,47,17,No,Westlands
SCL00131,16/03/2024,Eggs Tray 30,Eggs,Export Trading Group,216,188,176,49,21,No,Mombasa Road
SCL00132,02/05/2023,Rice 2kg,Grain,KFC Supply,466,441,111,365,18,No,Westlands
SCL00133,19/06/2024,Eggs Tray 30,Eggs,Brookside Dairy,465,420,71,356,3,No,Karen
SCL00134,18/10/2023,Chicken 1kg,Meat,Bakeries Ltd,422,420,398,120,10,No,Westlands
SCL00135,20/09/2023,Chicken 1kg,Meat,Twiga Foods,404,365,285,176,10,No,Kiambu
SCL00136,01/04/2024,Cooking Oil 2L,Oil,Unga Group,474,450,443,59,5,No,Westlands
SCL00137,19/12/2024,Cooking Oil 2L,Oil,Bakeries Ltd,416,370,253,192,19,No,Thika Road
SCL00138,30/03/2023,Tomatoes 1kg,Produce,KWAL,406,354,211,172,19,No,Mombasa Road
SCL00139,16/11/2023,Bread 400g,Bakery,Bakeries Ltd,411,373,67,403,3,No,Karen
SCL00140,08/04/2023,Rice 2kg,Grain,KFC Supply,403,390,110,355,12,No,Mombasa Road
SCL00141,04/04/2024,Sugar 2kg,Grocery,Brookside Dairy,203,173,31,142,17,No,Kiambu
SCL00142,09/07/2024,Tomatoes 1kg,Produce,Brookside Dairy,428,393,349,82,21,No,Karen
SCL00143,19/08/2024,Colgate 100g,Personal Care,Pembe Flour,290,268,166,141,9,No,Mombasa Road
SCL00144,25/01/2023,Indomie Noodles,Noodles,Brookside Dairy,367,339,325,40,17,No,Kiambu
SCL00145,10/01/2023,Cooking Oil 2L,Oil,Chandaria Industries,323,288,278,92,2,No,Eastleigh
SCL00146,19/02/2024,Omo 1kg,Detergent,KWAL,128,120,43,103,9,No,Karen
SCL00147,09/02/2024,Bread 400g,Bakery,Chandaria Industries,368,315,183,172,12,No,Westlands
SCL00148,08/07/2024,Colgate 100g,Personal Care,Twiga Foods,185,171,42,220,19,No,Karen
SCL00149,12/09/2024,Ketepa Tea 100bags,Tea,Twiga Foods,416,413,172,261,21,No,Kiambu
SCL00150,19/10/2024,Unga Jogoo 2kg,Flour,Bidco Africa,491,443,393,143,16,No,Karen
SCL00151,06/11/2023,Cooking Oil 2L,Oil,Unga Group,352,348,341,8,18,Yes,Eastleigh
SCL00152,22/09/2024,Colgate 100g,Personal Care,KFC Supply,218,217,162,67,13,No,Eastleigh
SCL00153,08/02/2024,Bread 400g,Bakery,Chandaria Industries,355,327,295,112,9,No,Eastleigh
SCL00154,21/01/2023,Tomatoes 1kg,Produce,KFC Supply,320,284,129,190,4,No,Westlands
SCL00155,19/03/2023,Sugar 2kg,Grocery,Unga Group,285,261,93,248,3,No,Mombasa Road
SCL00156,05/03/2023,Omo 1kg,Detergent,Bidco Africa,93,92,37,84,21,No,Westlands
SCL00157,14/10/2023,Brookside Milk 500ml,Dairy,Twiga Foods,158,136,70,123,2,No,Karen
SCL00158,17/11/2023,Chicken 1kg,Meat,Chandaria Industries,242,235,181,77,21,No,Ngong Road
SCL00159,10/12/2023,Sugar 2kg,Grocery,KFC Supply,372,327,225,133,11,No,Westlands
SCL00160,13/09/2024,Chicken 1kg,Meat,Twiga Foods,399,376,312,127,15,No,Mombasa Road
SCL00161,20/11/2024,Chicken 1kg,Meat,Bidco Africa,189,181,102,137,5,No,Ngong Road
SCL00162,07/10/2023,Sugar 2kg,Grocery,Export Trading Group,196,186,83,194,7,No,Westlands
SCL00163,19/01/2024,Chicken 1kg,Meat,Bidco Africa,223,218,86,167,2,No,Mombasa Road
SCL00164,12/11/2024,Eggs Tray 30,Eggs,Export Trading Group,172,156,126,107,18,No,Westlands
SCL00165,02/02/2023,Chicken 1kg,Meat,Chandaria Industries,211,209,143,133,17,No,Thika Road
SCL00166,04/03/2024,Cooking Oil 2L,Oil,Export Trading Group,220,200,133,119,15,No,Ngong Road
SCL00167,14/06/2023,Unga Jogoo 2kg,Flour,Bidco Africa,241,225,75,222,16,No,Mombasa Road
SCL00168,01/01/2023,Sugar 2kg,Grocery,Unga Group,356,333,184,197,5,No,Thika Road
SCL00169,03/08/2023,Indomie Noodles,Noodles,Bakeries Ltd,271,271,162,165,21,No,Thika Road
SCL00170,28/07/2024,Colgate 100g,Personal Care,Pembe Flour,456,400,238,247,10,No,Ngong Road
SCL00171,03/11/2024,Bread 400g,Bakery,KWAL,411,392,140,332,3,No,Kiambu
SCL00172,15/03/2024,Indomie Noodles,Noodles,Pembe Flour,346,320,229,102,10,No,Eastleigh
SCL00173,16/04/2023,Potatoes 2kg,Produce,Unga Group,456,402,344,157,17,No,Westlands
SCL00174,25/10/2023,Ketepa Tea 100bags,Tea,Export Trading Group,133,116,115,76,18,No,Thika Road
SCL00175,27/04/2024,Ketepa Tea 100bags,Tea,Pembe Flour,191,189,121,89,16,No,Eastleigh
SCL00176,12/06/2023,Brookside Milk 500ml,Dairy,Chandaria Industries,328,292,129,220,20,No,Ngong Road
SCL00177,23/04/2023,Ketepa Tea 100bags,Tea,KFC Supply,385,328,31,352,14,No,Eastleigh
SCL00178,30/05/2024,Sugar 2kg,Grocery,Bidco Africa,260,248,77,262,2,No,Kiambu
SCL00179,24/08/2023,Eggs Tray 30,Eggs,Chandaria Industries,353,330,309,62,11,No,Kiambu
SCL00180,13/09/2024,Ketepa Tea 100bags,Tea,Pembe Flour,297,259,120,202,15,No,Thika Road
SCL00181,31/08/2023,Brookside Milk 500ml,Dairy,Export Trading Group,392,352,35,380,20,No,Karen
SCL00182,25/07/2024,Unga Jogoo 2kg,Flour,KFC Supply,170,166,105,130,5,No,Karen
SCL00183,10/12/2024,Sugar 2kg,Grocery,Bakeries Ltd,144,130,105,68,8,No,Thika Road
SCL00184,03/07/2023,Chicken 1kg,Meat,Export Trading Group,167,163,41,180,10,No,Eastleigh
SCL00185,19/04/2024,Ketepa Tea 100bags,Tea,Export Trading Group,84,75,57,87,17,No,Kiambu
SCL00186,10/11/2023,Brookside Milk 500ml,Dairy,Pembe Flour,87,74,46,57,9,No,Mombasa Road
SCL00187,12/12/2024,Rice 2kg,Grain,Bidco Africa,155,138,84,99,4,No,Kiambu
SCL00188,20/04/2024,Pampers Size 4,Baby,KWAL,174,174,119,111,20,No,Eastleigh
SCL00189,17/08/2023,Brookside Milk 500ml,Dairy,Bakeries Ltd,305,269,37,298,15,No,Eastleigh
SCL00190,22/07/2024,Omo 1kg,Detergent,Twiga Foods,166,154,145,107,21,No,Eastleigh
SCL00191,21/03/2023,Brookside Milk 500ml,Dairy,Bidco Africa,260,233,135,99,8,No,Westlands
SCL00192,23/01/2024,Eggs Tray 30,Eggs,Pembe Flour,298,269,126,209,18,No,Ngong Road
SCL00193,07/09/2024,Ketepa Tea 100bags,Tea,KWAL,380,362,170,197,17,No,Karen
SCL00194,04/07/2023,Potatoes 2kg,Produce,KFC Supply,284,245,89,218,11,No,Thika Road
SCL00195,13/07/2023,Potatoes 2kg,Produce,Pembe Flour,365,353,41,351,16,No,Westlands
SCL00196,04/07/2024,Sugar 2kg,Grocery,KWAL,346,339,258,145,16,No,Thika Road
SCL00197,23/02/2023,Rice 2kg,Grain,KFC Supply,405,392,55,410,16,No,Ngong Road
SCL00198,06/03/2024,Cooking Oil 2L,Oil,Pembe Flour,491,431,250,189,9,No,Thika Road
SCL00199,30/05/2023,Eggs Tray 30,Eggs,Export Trading Group,56,49,30,67,8,No,Thika Road
SCL00200,28/12/2024,Tomatoes 1kg,Produce,Export Trading Group,109,100,30,143,15,No,Eastleigh
SCL00201,14/08/2024,Rice 2kg,Grain,Pembe Flour,389,385,200,258,9,No,Ngong Road
SCL00202,26/05/2023,Unga Jogoo 2kg,Flour,Export Trading Group,347,311,247,83,11,No,Karen
SCL00203,07/10/2024,Sugar 2kg,Grocery,Bidco Africa,55,51,44,76,9,No,Eastleigh
SCL00204,03/12/2023,Pampers Size 4,Baby,Export Trading Group,218,205,43,189,6,No,Thika Road
SCL00205,28/09/2023,Rice 2kg,Grain,Chandaria Industries,173,153,116,89,10,No,Eastleigh
SCL00206,30/09/2023,Ketepa Tea 100bags,Tea,KWAL,253,231,63,191,11,No,Karen
SCL00207,06/11/2023,Omo 1kg,Detergent,Brookside Dairy,243,209,50,195,4,No,Mombasa Road
SCL00208,03/11/2024,Omo 1kg,Detergent,Export Trading Group,112,102,93,65,2,No,Westlands
SCL00209,20/05/2024,Sugar 2kg,Grocery,Pembe Flour,100,97,84,16,20,Yes,Westlands
SCL00210,14/06/2023,Indomie Noodles,Noodles,Twiga Foods,185,182,120,81,6,No,Thika Road
SCL00211,29/05/2024,Cooking Oil 2L,Oil,Twiga Foods,326,280,49,305,19,No,Eastleigh
SCL00212,05/02/2023,Chicken 1kg,Meat,Pembe Flour,498,496,441,86,3,No,Karen
SCL00213,10/10/2023,Indomie Noodles,Noodles,Bakeries Ltd,249,247,165,106,19,No,Thika Road
SCL00214,03/09/2023,Tomatoes 1kg,Produce,Bakeries Ltd,65,62,60,74,17,No,Karen
SCL00215,13/05/2024,Ketepa Tea 100bags,Tea,Pembe Flour,261,222,34,274,7,No,Kiambu
SCL00216,02/08/2023,Indomie Noodles,Noodles,Chandaria Industries,386,368,172,242,15,No,Mombasa Road
SCL00217,21/10/2024,Sugar 2kg,Grocery,Unga Group,224,207,86,145,20,No,Kiambu
SCL00218,16/03/2023,Bread 400g,Bakery,Brookside Dairy,51,49,49,77,20,No,Thika Road
SCL00219,24/07/2024,Bread 400g,Bakery,Export Trading Group,172,151,38,145,15,No,Ngong Road
SCL00220,03/09/2024,Eggs Tray 30,Eggs,Brookside Dairy,97,91,87,60,16,No,Karen
SCL00221,28/10/2024,Brookside Milk 500ml,Dairy,Bidco Africa,85,80,39,108,20,No,Thika Road
SCL00222,20/12/2024,Unga Jogoo 2kg,Flour,Export Trading Group,492,451,196,331,11,No,Thika Road
SCL00223,29/01/2024,Indomie Noodles,Noodles,Chandaria Industries,237,208,126,166,9,No,Thika Road
SCL00224,20/12/2024,Bread 400g,Bakery,Brookside Dairy,123,115,40,161,13,No,Westlands
SCL00225,03/08/2024,Colgate 100g,Personal Care,KWAL,439,421,332,93,4,No,Eastleigh
SCL00226,19/01/2023,Unga Jogoo 2kg,Flour,Bakeries Ltd,271,247,49,279,12,No,Thika Road
SCL00227,03/09/2023,Omo 1kg,Detergent,Export Trading Group,374,324,303,92,10,No,Thika Road
SCL00228,31/07/2024,Indomie Noodles,Noodles,Bidco Africa,423,406,290,123,3,No,Ngong Road
SCL00229,16/11/2024,Tomatoes 1kg,Produce,Bidco Africa,258,250,229,97,21,No,Eastleigh
SCL00230,23/07/2023,Omo 1kg,Detergent,Chandaria Industries,457,393,64,406,8,No,Mombasa Road
SCL00231,17/04/2024,Indomie Noodles,Noodles,Brookside Dairy,72,63,57,42,15,No,Eastleigh
SCL00232,18/11/2023,Potatoes 2kg,Produce,Chandaria Industries,458,437,418,99,5,No,Ngong Road
SCL00233,27/06/2024,Chicken 1kg,Meat,KWAL,233,215,199,105,16,No,Eastleigh
SCL00234,03/03/2024,Indomie Noodles,Noodles,Bakeries Ltd,267,236,62,268,6,No,Eastleigh
SCL00235,25/03/2024,Indomie Noodles,Noodles,Export Trading Group,455,440,141,349,15,No,Mombasa Road
SCL00236,15/07/2023,Indomie Noodles,Noodles,Pembe Flour,420,357,228,221,14,No,Westlands
SCL00237,07/03/2023,Omo 1kg,Detergent,Export Trading Group,93,80,32,95,16,No,Karen
SCL00238,29/02/2024,Chicken 1kg,Meat,Twiga Foods,251,233,163,116,9,No,Karen
SCL00239,23/12/2023,Chicken 1kg,Meat,Bakeries Ltd,262,240,122,180,7,No,Karen
SCL00240,17/05/2024,Brookside Milk 500ml,Dairy,Twiga Foods,358,323,272,77,21,No,Eastleigh
SCL00241,20/12/2024,Rice 2kg,Grain,Bidco Africa,241,230,41,209,9,No,Ngong Road
SCL00242,22/12/2023,Cooking Oil 2L,Oil,KWAL,111,100,88,67,3,No,Thika Road
SCL00243,11/10/2024,Sugar 2kg,Grocery,Pembe Flour,423,411,248,167,14,No,Ngong Road
SCL00244,16/10/2023,Rice 2kg,Grain,Twiga Foods,484,449,166,289,7,No,Westlands
SCL00245,15/02/2023,Cooking Oil 2L,Oil,Bidco Africa,424,375,356,77,2,No,Thika Road
SCL00246,28/05/2023,Unga Jogoo 2kg,Flour,Export Trading Group,458,430,382,73,2,No,Thika Road
SCL00247,25/05/2024,Cooking Oil 2L,Oil,Unga Group,446,408,209,273,20,No,Kiambu
SCL00248,08/11/2023,Sugar 2kg,Grocery,Bidco Africa,105,93,68,29,12,Yes,Westlands
SCL00249,31/12/2024,Eggs Tray 30,Eggs,Export Trading Group,239,207,101,157,12,No,Kiambu
SCL00250,15/05/2024,Ketepa Tea 100bags,Tea,KWAL,497,431,331,150,20,No,Kiambu
SCL00251,22/01/2024,Unga Jogoo 2kg,Flour,KWAL,431,376,57,382,19,No,Kiambu
SCL00252,06/01/2023,Indomie Noodles,Noodles,Twiga Foods,168,162,116,72,14,No,Eastleigh
SCL00253,18/07/2023,Chicken 1kg,Meat,Brookside Dairy,254,251,205,61,10,No,Thika Road
SCL00254,16/08/2024,Indomie Noodles,Noodles,Chandaria Industries,89,77,66,107,2,No,Kiambu
SCL00255,20/08/2024,Cooking Oil 2L,Oil,Chandaria Industries,239,235,31,274,10,No,Ngong Road
SCL00256,30/12/2024,Brookside Milk 500ml,Dairy,Pembe Flour,287,265,152,137,17,No,Kiambu
SCL00257,29/09/2023,Omo 1kg,Detergent,Brookside Dairy,302,264,90,274,15,No,Eastleigh
SCL00258,14/01/2023,Ketepa Tea 100bags,Tea,Twiga Foods,386,351,159,210,20,No,Thika Road
SCL00259,28/02/2023,Indomie Noodles,Noodles,Bakeries Ltd,209,180,49,194,18,No,Eastleigh
SCL00260,30/07/2024,Chicken 1kg,Meat,Pembe Flour,128,122,66,151,18,No,Ngong Road
